Date,20SMA,5SMA,Close
2010-11-09,11.09,11.48,10.989999771118164
2010-11-10,11.14,11.23,10.779999732971191
2010-11-11,11.19,11.08,10.819999694824219
2010-11-12,11.24,10.89,10.630000114440918
2010-11-15,11.27,10.79,10.710000038146973
2010-11-16,11.3,10.73,10.6899995803833
2010-11-17,11.29,10.71,10.699999809265137
2010-11-18,11.31,10.75,11.020000457763672
2010-11-19,11.32,10.84,11.079999923706055
2010-11-22,11.3,10.93,11.180000305175781
2010-11-23,11.27,11.02,11.100000381469727
2010-11-24,11.26,11.22,11.739999771118164
2010-11-26,11.25,11.36,11.699999809265137
2010-11-29,11.22,11.4,11.279999732971191
2010-11-30,11.2,11.4,11.15999984741211
2010-12-01,11.16,11.43,11.260000228881836
2010-12-02,11.12,11.3,11.109999656677246
2010-12-03,11.09,11.17,11.039999961853027
2010-12-06,11.07,11.14,11.149999618530273
2010-12-07,11.03,11.02,10.550000190734863
2010-12-08,11.03,10.96,10.970000267028809
2010-12-09,11.04,10.92,10.90999984741211
2010-12-10,11.05,10.9,10.930000305175781
2010-12-13,11.04,10.77,10.510000228881836
2010-12-14,11.03,10.77,10.529999732971191
2010-12-15,11.0,10.6,10.140000343322754
2010-12-16,10.97,10.45,10.130000114440918
2010-12-17,10.93,10.27,10.0600004196167
2010-12-20,10.88,10.21,10.180000305175781
2010-12-21,10.85,10.21,10.520000457763672
2010-12-22,10.81,10.24,10.319999694824219
2010-12-23,10.72,10.2,9.90999984741211
2010-12-27,10.63,10.16,9.869999885559082
2010-12-28,10.56,10.1,9.890000343322754
2010-12-29,10.51,10.03,10.140000343322754
2010-12-30,10.45,9.99,10.130000114440918
2010-12-31,10.39,10.01,10.010000228881836
2011-01-03,10.38,10.16,10.649999618530273
2011-01-04,10.35,10.31,10.619999885559082
2011-01-05,10.38,10.5,11.100000381469727
2011-01-06,10.39,10.72,11.239999771118164
2011-01-07,10.41,11.0,11.399999618530273
2011-01-10,10.44,11.17,11.470000267028809
2011-01-11,10.46,11.24,10.970000267028809
2011-01-12,10.48,11.19,10.880000114440918
2011-01-13,10.52,11.12,10.890000343322754
2011-01-14,10.55,11.0,10.789999961853027
2011-01-18,10.56,10.73,10.119999885559082
2011-01-19,10.55,10.54,10.029999732971191
2011-01-20,10.53,10.42,10.25
2011-01-21,10.51,10.2,9.829999923706055
2011-01-24,10.52,10.07,10.100000381469727
2011-01-25,10.53,10.07,10.130000114440918
2011-01-26,10.58,10.22,10.800000190734863
2011-01-27,10.62,10.38,11.050000190734863
2011-01-28,10.62,10.45,10.15999984741211
2011-01-31,10.62,10.41,9.920000076293945
2011-02-01,10.58,10.37,9.90999984741211
2011-02-02,10.53,10.11,9.520000457763672
2011-02-03,10.45,9.82,9.59000015258789
2011-02-04,10.35,9.64,9.239999771118164
2011-02-07,10.27,9.6,9.720000267028809
2011-02-08,10.19,9.59,9.880000114440918
2011-02-09,10.13,9.66,9.880000114440918
2011-02-10,10.08,9.71,9.850000381469727
2011-02-11,10.05,9.89,10.130000114440918
2011-02-14,10.0,9.94,9.970000267028809
2011-02-15,10.0,9.98,10.079999923706055
2011-02-16,10.01,10.03,10.100000381469727
2011-02-17,9.99,10.04,9.920000076293945
2011-02-18,9.98,9.96,9.720000267028809
2011-02-22,9.94,9.8,9.170000076293945
2011-02-23,9.86,9.48,8.489999771118164
2011-02-24,9.74,9.15,8.430000305175781
2011-02-25,9.61,8.88,8.569999694824219
2011-02-28,9.54,8.65,8.609999656677246
2011-03-01,9.44,8.41,7.949999809265137
2011-03-02,9.34,8.31,7.96999979019165
2011-03-03,9.28,8.29,8.359999656677246
2011-03-04,9.22,8.23,8.279999732971191
2011-03-07,9.17,8.17,8.300000190734863
2011-03-08,9.15,8.44,9.279999732971191
2011-03-09,9.1,8.63,8.930000305175781
2011-03-10,9.06,8.78,9.09000015258789
2011-03-11,9.03,8.96,9.180000305175781
2011-03-14,8.96,9.07,8.869999885559082
2011-03-15,8.91,9.0,8.920000076293945
2011-03-16,8.83,8.92,8.550000190734863
2011-03-17,8.75,8.8,8.489999771118164
2011-03-18,8.71,8.76,8.960000038146973
2011-03-21,8.68,8.82,9.170000076293945
2011-03-22,8.66,8.81,8.899999618530273
2011-03-23,8.68,8.85,8.729999542236328
2011-03-24,8.7,8.92,8.859999656677246
